# {'N': 1, 'y': [7, 8], 'f': [0, 1], 'M': 2, 'mu_': [6, 6], 'f_': [2, 3], 'n': 500, 'mu': [5, 5], 'y_': [9, 10], 'x': [4, 4]}
324,0.501,0.319,0.501,0.318,0.501,1.000,5.464,-24.194,6.180,0.006,0.698
418,0.504,0.316,0.504,0.315,0.504,1.000,5.291,-24.286,6.699,0.004,0.704
181,0.490,0.331,0.490,0.330,0.490,0.917,5.729,-23.452,4.436,0.018,0.680
168,0.001,0.999,0.000,1.000,0.001,0.860,0.860,1.524,-60.304,0.423,0.000
162,0.003,0.997,0.002,0.998,0.003,0.859,0.862,1.311,-59.977,0.420,0.003
167,0.495,0.325,0.495,0.325,0.495,0.857,5.042,-23.763,5.263,0.013,0.689
341,0.005,0.995,0.004,0.996,0.005,0.854,0.861,1.930,-60.217,0.430,0.001
359,0.008,0.992,0.007,0.993,0.008,0.853,0.865,2.155,-60.025,0.434,0.003
350,0.009,0.991,0.008,0.992,0.009,0.848,0.862,1.498,-59.534,0.423,0.008
88,0.011,0.989,0.011,0.989,0.011,0.843,0.862,1.624,-59.387,0.425,0.010
206,0.012,0.988,0.011,0.989,0.012,0.843,0.862,2.342,-59.715,0.437,0.006
82,0.016,0.984,0.015,0.985,0.016,0.838,0.864,2.388,-59.312,0.437,0.010
460,0.016,0.984,0.015,0.985,0.016,0.838,0.864,1.871,-58.992,0.429,0.014
321,0.019,0.981,0.018,0.982,0.019,0.833,0.864,2.618,-59.069,0.441,0.013
193,0.021,0.979,0.021,0.979,0.021,0.829,0.865,2.210,-58.587,0.435,0.018
177,0.024,0.976,0.023,0.977,0.024,0.828,0.868,2.419,-58.270,0.438,0.021
116,0.024,0.976,0.024,0.976,0.024,0.826,0.868,2.861,-58.540,0.445,0.019
381,0.027,0.973,0.026,0.974,0.027,0.825,0.870,3.030,-58.169,0.448,0.022
268,0.476,0.348,0.476,0.347,0.476,0.824,6.384,-23.014,2.168,0.025,0.656
217,0.029,0.971,0.028,0.972,0.029,0.821,0.870,2.818,-57.752,0.444,0.027
27,0.515,0.307,0.515,0.306,0.515,0.818,3.915,-24.122,8.500,0.007,0.723
239,0.481,0.342,0.481,0.341,0.481,0.818,5.844,-23.004,2.981,0.025,0.665
104,0.032,0.968,0.031,0.969,0.032,0.817,0.871,3.073,-57.425,0.449,0.030
146,0.033,0.966,0.033,0.967,0.033,0.816,0.873,3.484,-57.418,0.455,0.030
247,0.036,0.964,0.035,0.965,0.036,0.811,0.872,3.286,-56.848,0.452,0.036
136,0.038,0.962,0.037,0.963,0.038,0.807,0.872,3.534,-56.592,0.456,0.039
