# {'f_': [2, 3], 'mu_': [7, 7], 'n': 241, 'N': 2, 'M': 2, 'mu': [6, 6], 'x': [4, 5], 'f': [0, 1]}
156,0.836,0.328,0.974,0.012,0.836,0.328,1.143,1.188
64,0.176,1.649,0.204,0.793,0.176,1.649,1.000,1.698
139,0.178,1.644,0.207,0.790,0.178,1.644,1.000,1.715
232,0.162,1.676,0.188,0.809,0.162,1.676,1.000,1.610
105,0.163,1.675,0.189,0.808,0.163,1.675,1.000,1.616
127,0.166,1.668,0.193,0.804,0.166,1.668,1.000,1.637
214,0.168,1.664,0.195,0.802,0.168,1.664,1.000,1.647
220,0.169,1.662,0.196,0.801,0.169,1.662,1.000,1.653
161,0.171,1.658,0.199,0.798,0.171,1.658,1.000,1.669
167,0.173,1.655,0.200,0.797,0.173,1.655,1.000,1.675
80,0.001,1.999,0.000,1.000,0.001,1.999,0.984,0.984
236,0.142,1.720,0.164,0.835,0.142,1.720,0.923,1.376
200,0.153,1.696,0.177,0.821,0.153,1.696,0.917,1.423
147,0.144,1.716,0.167,0.832,0.144,1.716,0.909,1.367
14,0.155,1.691,0.180,0.818,0.155,1.691,0.889,1.393
10,0.146,1.712,0.169,0.830,0.146,1.712,0.889,1.345
221,0.830,0.341,0.967,0.020,0.830,0.341,0.875,0.924
194,0.185,1.633,0.215,0.783,0.185,1.633,0.875,1.540
203,0.147,1.709,0.170,0.829,0.147,1.709,0.875,1.328
17,0.831,0.339,0.968,0.019,0.831,0.339,0.857,0.903
186,0.077,1.873,0.088,0.925,0.077,1.873,0.844,1.009
172,0.080,1.866,0.092,0.921,0.080,1.866,0.837,1.010
23,0.158,1.685,0.183,0.815,0.158,1.685,0.833,1.319
24,0.124,1.761,0.144,0.859,0.124,1.761,0.833,1.166
79,0.137,1.731,0.159,0.841,0.137,1.731,0.833,1.222
136,0.133,1.741,0.154,0.847,0.133,1.741,0.833,1.203
129,0.094,1.832,0.109,0.901,0.094,1.832,0.833,1.052
88,0.099,1.822,0.114,0.895,0.099,1.822,0.833,1.067
110,0.072,1.883,0.083,0.931,0.072,1.883,0.831,0.980
35,0.104,1.810,0.120,0.888,0.104,1.810,0.828,1.078
212,0.069,1.888,0.080,0.934,0.069,1.888,0.825,0.966
217,0.082,1.860,0.095,0.918,0.082,1.860,0.824,1.001
207,0.105,1.808,0.121,0.887,0.105,1.808,0.821,1.072
144,0.109,1.797,0.126,0.881,0.109,1.797,0.818,1.084
115,0.065,1.897,0.075,0.940,0.065,1.897,0.800,0.925
69,0.832,0.336,0.970,0.017,0.832,0.336,0.800,0.839
133,0.091,1.840,0.105,0.906,0.091,1.840,0.800,0.999
158,0.183,1.636,0.212,0.786,0.183,1.636,0.800,1.394
187,0.194,1.618,0.225,0.775,0.194,1.618,0.800,1.455
210,0.193,1.619,0.225,0.775,0.193,1.619,0.800,1.455
163,0.110,1.794,0.128,0.879,0.110,1.794,0.800,1.065
112,0.100,1.818,0.116,0.893,0.100,1.818,0.800,1.030
229,0.117,1.777,0.136,0.869,0.117,1.777,0.800,1.091
231,0.063,1.901,0.073,0.942,0.063,1.901,0.795,0.914
0,0.821,0.364,0.956,0.034,0.821,0.364,0.786,0.852
11,0.060,1.908,0.069,0.946,0.060,1.908,0.783,0.892
179,0.059,1.910,0.068,0.947,0.059,1.910,0.779,0.887
54,0.823,0.357,0.960,0.029,0.823,0.357,0.778,0.835
18,0.126,1.756,0.147,0.856,0.126,1.756,0.778,1.097
36,0.085,1.855,0.098,0.915,0.085,1.855,0.778,0.952
222,0.118,1.776,0.137,0.868,0.118,1.776,0.778,1.064
25,0.057,1.914,0.065,0.950,0.057,1.914,0.769,0.869
48,0.054,1.919,0.063,0.952,0.054,1.919,0.762,0.857
90,0.054,1.920,0.062,0.953,0.054,1.920,0.758,0.851
219,0.159,1.682,0.185,0.813,0.159,1.682,0.750,1.194
149,0.827,0.347,0.964,0.024,0.827,0.347,0.750,0.798
198,0.824,0.354,0.961,0.028,0.824,0.354,0.750,0.804
50,0.150,1.703,0.174,0.825,0.150,1.703,0.750,1.152
58,0.096,1.828,0.111,0.899,0.096,1.828,0.750,0.952
66,0.115,1.784,0.133,0.873,0.115,1.784,0.750,1.014
121,0.088,1.847,0.102,0.910,0.088,1.847,0.750,0.928
126,0.182,1.638,0.211,0.787,0.182,1.638,0.750,1.302
162,0.122,1.767,0.141,0.863,0.122,1.767,0.750,1.039
165,0.197,1.614,0.229,0.772,0.197,1.614,0.750,1.381
197,0.134,1.737,0.156,0.845,0.134,1.737,0.750,1.089
209,0.130,1.747,0.151,0.851,0.130,1.747,0.750,1.071
235,0.191,1.622,0.223,0.777,0.191,1.622,0.750,1.354
42,0.839,0.323,0.978,0.009,0.839,0.323,0.750,0.774
204,0.051,1.926,0.059,0.956,0.051,1.926,0.746,0.831
8,0.049,1.930,0.056,0.959,0.049,1.930,0.732,0.811
45,0.048,1.931,0.055,0.960,0.048,1.931,0.727,0.804
135,0.043,1.940,0.049,0.965,0.043,1.940,0.714,0.780
117,0.036,1.953,0.041,0.972,0.036,1.953,0.683,0.734
114,0.202,1.607,0.235,0.768,0.202,1.607,0.667,1.251
63,0.038,1.949,0.044,0.970,0.038,1.949,0.667,0.720
49,0.032,1.959,0.036,0.976,0.032,1.959,0.667,0.709
44,0.139,1.726,0.162,0.838,0.139,1.726,0.667,0.986
73,0.068,1.892,0.078,0.937,0.068,1.892,0.667,0.776
83,0.107,1.803,0.124,0.884,0.107,1.803,0.667,0.877
107,0.092,1.837,0.107,0.904,0.092,1.837,0.667,0.836
128,0.205,1.604,0.238,0.766,0.205,1.604,0.667,1.263
132,0.089,1.846,0.103,0.909,0.089,1.846,0.667,0.827
141,0.188,1.628,0.218,0.781,0.188,1.628,0.667,1.184
143,0.150,1.701,0.175,0.824,0.150,1.701,0.667,1.027
177,0.113,1.789,0.131,0.876,0.113,1.789,0.667,0.895
199,0.123,1.765,0.142,0.862,0.123,1.765,0.667,0.926
234,0.208,1.600,0.241,0.764,0.208,1.600,0.667,1.275
71,0.847,0.313,0.987,0.003,0.847,0.313,0.667,0.678
92,0.844,0.316,0.984,0.005,0.844,0.316,0.667,0.681
104,0.029,1.964,0.032,0.979,0.029,1.964,0.656,0.693
183,0.027,1.967,0.030,0.981,0.027,1.967,0.633,0.666
85,0.024,1.971,0.027,0.983,0.024,1.971,0.630,0.659
91,0.021,1.974,0.024,0.985,0.021,1.974,0.625,0.650
175,0.008,1.992,0.008,0.995,0.008,1.992,0.625,0.633
