# {'n':605, 'M':3, 'N':3, 'f':[0,2], 'f_':[3,5], 'x':[6,8]}
0,0.264,0.066,2.470,0.287,0.073,0.851,0.264,0.066,2.470
1,0.832,0.088,1.185,0.903,0.096,0.467,0.832,0.088,1.185
2,0.753,0.838,0.022,0.818,0.920,0.120,0.753,0.838,0.022
3,0.670,0.016,2.289,0.728,0.017,0.797,0.670,0.016,2.289
4,0.815,0.032,1.341,0.885,0.035,0.514,0.815,0.032,1.341
5,0.048,0.253,2.504,0.052,0.278,0.861,0.048,0.253,2.504
6,0.702,0.157,1.752,0.762,0.173,0.636,0.702,0.157,1.752
7,0.694,0.724,1.031,0.753,0.795,0.421,0.694,0.724,1.031
8,0.125,0.238,2.335,0.136,0.262,0.811,0.125,0.238,2.335
9,0.796,0.635,1.010,0.864,0.697,0.415,0.796,0.635,1.010
10,0.715,0.101,1.788,0.776,0.111,0.647,0.715,0.101,1.788
11,0.274,0.159,2.264,0.298,0.174,0.789,0.274,0.159,2.264
12,0.216,0.061,2.497,0.235,0.066,0.859,0.216,0.061,2.497
13,0.865,0.704,0.358,0.939,0.773,0.220,0.865,0.704,0.358
14,0.085,0.013,2.841,0.092,0.013,0.962,0.085,0.013,2.841
15,0.691,0.298,1.760,0.750,0.327,0.639,0.691,0.298,1.760
16,0.232,0.115,2.362,0.251,0.126,0.819,0.232,0.115,2.362
17,0.158,0.702,1.752,0.171,0.771,0.636,0.158,0.702,1.752
18,0.119,0.643,2.277,0.129,0.705,0.793,0.119,0.643,2.277
19,0.727,0.080,1.743,0.790,0.088,0.634,0.727,0.080,1.743
20,0.011,0.135,2.724,0.012,0.148,0.927,0.011,0.135,2.724
21,0.791,0.221,1.068,0.858,0.242,0.432,0.791,0.221,1.068
22,0.113,0.654,2.214,0.122,0.717,0.775,0.113,0.654,2.214
23,0.848,0.084,1.167,0.921,0.092,0.462,0.848,0.084,1.167
24,0.863,0.706,0.348,0.937,0.775,0.217,0.863,0.706,0.348
25,0.099,0.126,2.577,0.108,0.138,0.883,0.099,0.126,2.577
26,0.834,0.226,0.915,0.905,0.248,0.387,0.834,0.226,0.915
27,0.284,0.704,1.644,0.308,0.772,0.604,0.284,0.704,1.644
28,0.221,0.124,2.348,0.240,0.136,0.815,0.221,0.124,2.348
29,0.657,0.889,0.745,0.713,0.976,0.336,0.657,0.889,0.745
30,0.122,0.195,2.385,0.132,0.213,0.826,0.122,0.195,2.385
31,0.037,0.264,2.526,0.040,0.289,0.868,0.037,0.264,2.526
32,0.763,0.040,1.579,0.829,0.043,0.585,0.763,0.040,1.579
33,0.123,0.052,2.690,0.133,0.056,0.917,0.123,0.052,2.690
34,0.634,0.719,1.498,0.688,0.790,0.561,0.634,0.719,1.498
35,0.217,0.244,2.164,0.235,0.268,0.760,0.217,0.244,2.164
36,0.734,0.220,1.417,0.797,0.241,0.536,0.734,0.220,1.417
37,0.662,0.025,2.340,0.718,0.027,0.812,0.662,0.025,2.340
38,0.671,0.192,1.924,0.728,0.211,0.688,0.671,0.192,1.924
39,0.644,0.268,2.067,0.700,0.293,0.731,0.644,0.268,2.067
40,0.893,0.859,-0.341,0.970,0.943,0.011,0.893,0.859,-0.341
41,0.750,0.731,0.571,0.814,0.802,0.284,0.750,0.731,0.571
