# {'N': 5, 'y': [17, 18], 'f': [0, 4], 'M': 5, 'mu_': [16, 16], 'f_': [5, 9], 'n': 1903, 'mu': [15, 15], 'y_': [19, 20], 'x': [10, 14]}
370,0.023,0.010,0.174,0.046,4.558,0.023,0.010,0.174,0.046,0.939,0.023,0.010,0.174,0.046,4.558,1.178,1.268,-33.027,79.704,0.373,0.950
627,0.014,0.861,0.111,0.007,3.077,0.014,0.865,0.111,0.007,0.675,0.014,0.861,0.111,0.007,3.077,1.013,1.180,-34.823,21.631,0.363,0.614
792,0.017,0.002,0.042,0.238,4.469,0.017,0.001,0.042,0.238,0.923,0.017,0.002,0.042,0.238,4.469,0.849,0.921,-31.226,80.329,0.383,0.954
954,0.032,0.784,0.140,0.039,3.151,0.032,0.788,0.140,0.039,0.688,0.032,0.784,0.140,0.039,3.151,0.837,1.107,-34.018,21.595,0.367,0.614
1840,0.864,0.842,0.112,0.080,1.308,0.866,0.845,0.112,0.080,0.360,0.864,0.842,0.112,0.080,1.308,0.734,0.933,66.003,-26.350,0.925,0.337
1316,0.798,0.020,0.164,0.016,3.082,0.800,0.020,0.164,0.016,0.676,0.798,0.020,0.164,0.016,3.082,0.725,0.924,12.361,32.908,0.626,0.680
882,0.050,0.132,0.878,0.148,2.747,0.050,0.133,0.879,0.148,0.616,0.050,0.132,0.878,0.148,2.747,0.698,0.842,-23.186,-21.368,0.428,0.366
1027,0.003,0.872,0.788,0.127,1.608,0.003,0.876,0.789,0.127,0.413,0.003,0.872,0.788,0.127,1.608,0.691,0.792,-0.854,-59.159,0.552,0.148
255,0.802,0.815,0.029,0.348,1.082,0.805,0.818,0.029,0.348,0.320,0.802,0.815,0.029,0.348,1.082,0.679,0.861,73.155,-29.657,0.965,0.318
1751,0.194,0.010,0.034,0.140,4.336,0.194,0.010,0.034,0.140,0.899,0.194,0.010,0.034,0.140,4.336,0.679,0.764,-30.063,80.378,0.389,0.954
1685,0.923,0.846,0.032,0.040,1.690,0.926,0.850,0.032,0.040,0.428,0.923,0.846,0.032,0.040,1.690,0.677,0.757,57.932,-15.665,0.880,0.399
258,0.777,0.790,0.210,0.012,1.625,0.779,0.793,0.210,0.012,0.416,0.777,0.790,0.210,0.012,1.625,0.661,0.846,57.781,-18.978,0.879,0.380
679,0.087,0.041,0.135,0.037,4.486,0.087,0.041,0.135,0.036,0.926,0.087,0.041,0.135,0.037,4.486,0.653,0.733,-32.304,79.840,0.377,0.951
388,0.235,0.105,0.825,0.102,2.588,0.235,0.105,0.826,0.102,0.588,0.235,0.105,0.825,0.102,2.588,0.641,0.885,-28.307,-29.660,0.399,0.318
520,0.784,0.075,0.001,0.044,3.339,0.786,0.075,0.000,0.044,0.722,0.784,0.075,0.001,0.044,3.339,0.633,0.805,11.023,35.091,0.618,0.692
758,0.758,0.853,0.212,0.000,1.569,0.760,0.857,0.213,0.000,0.406,0.758,0.853,0.212,0.000,1.569,0.612,0.714,58.018,-19.451,0.880,0.377
437,0.129,0.140,0.830,0.260,2.310,0.129,0.141,0.831,0.260,0.538,0.129,0.140,0.830,0.260,2.310,0.608,0.866,-31.917,-34.935,0.379,0.288
880,0.144,0.130,0.831,0.256,2.307,0.144,0.130,0.832,0.257,0.538,0.144,0.130,0.831,0.256,2.307,0.604,0.861,-31.641,-35.181,0.381,0.286
806,0.053,0.188,0.905,0.040,2.892,0.053,0.189,0.906,0.040,0.642,0.053,0.188,0.905,0.040,2.892,0.588,0.679,-20.918,-19.115,0.440,0.379
1374,0.218,0.034,0.796,0.146,2.761,0.218,0.034,0.797,0.146,0.619,0.218,0.034,0.796,0.146,2.761,0.584,0.765,-28.447,-27.046,0.398,0.333
297,0.887,0.046,0.043,0.017,3.193,0.889,0.046,0.043,0.017,0.696,0.887,0.046,0.043,0.017,3.193,0.562,0.644,11.794,34.249,0.623,0.687
113,0.798,0.099,0.775,0.072,1.740,0.800,0.099,0.776,0.072,0.437,0.798,0.099,0.775,0.072,1.740,0.559,0.768,26.362,-37.914,0.704,0.270
464,0.803,0.883,0.809,0.074,0.061,0.805,0.887,0.810,0.074,0.138,0.803,0.883,0.809,0.074,0.061,0.555,0.683,-93.371,28.824,0.037,0.656
1785,0.167,0.827,0.047,0.161,2.672,0.168,0.831,0.047,0.161,0.603,0.167,0.827,0.047,0.161,2.672,0.552,0.704,-55.035,-0.845,0.250,0.484
1292,0.190,0.864,0.830,0.059,1.198,0.190,0.868,0.832,0.059,0.340,0.190,0.864,0.830,0.059,1.198,0.550,0.680,3.548,-66.928,0.577,0.103
1123,0.042,0.798,0.792,0.362,1.144,0.042,0.802,0.793,0.363,0.331,0.042,0.798,0.792,0.362,1.144,0.545,0.717,-0.072,-72.034,0.557,0.073
312,0.782,0.938,0.107,0.003,1.869,0.784,0.942,0.107,0.003,0.460,0.782,0.938,0.107,0.003,1.869,0.540,0.575,56.215,-15.485,0.870,0.400
1687,0.047,0.814,0.037,0.384,2.510,0.047,0.818,0.037,0.385,0.574,0.047,0.814,0.037,0.384,2.510,0.540,0.692,-57.532,-2.452,0.236,0.475
163,0.051,0.827,0.751,0.270,1.457,0.051,0.830,0.752,0.271,0.386,0.051,0.827,0.751,0.270,1.457,0.533,0.684,-1.359,-64.407,0.549,0.117
1551,0.802,0.066,0.874,0.143,1.411,0.804,0.066,0.875,0.143,0.378,0.802,0.066,0.874,0.143,1.411,0.529,0.654,30.619,-44.887,0.728,0.230
449,0.764,0.752,0.827,0.018,0.667,0.766,0.755,0.828,0.018,0.246,0.764,0.752,0.827,0.018,0.667,0.522,0.645,41.039,-73.062,0.786,0.067
1170,0.886,0.830,0.837,0.063,-0.080,0.888,0.834,0.838,0.063,0.113,0.886,0.830,0.837,0.063,-0.080,0.520,0.630,-94.608,29.149,0.030,0.658
1157,0.012,0.261,0.769,0.019,3.141,0.012,0.262,0.770,0.018,0.686,0.012,0.261,0.769,0.019,3.141,0.512,0.676,-20.017,-15.838,0.445,0.398
1402,0.145,0.288,0.011,0.075,4.191,0.146,0.289,0.011,0.075,0.873,0.145,0.288,0.011,0.075,4.191,0.512,0.593,-35.741,64.794,0.358,0.864
341,0.874,0.005,0.066,0.224,2.787,0.876,0.005,0.066,0.224,0.623,0.874,0.005,0.066,0.224,2.787,0.503,0.577,29.671,27.894,0.722,0.651
