# {'n':2000, 'M':4, 'N':3, 'f':[0,3], 'f_':[4,7], 'x':[8,10]}
0,0.527,0.882,0.369,-0.778,0.527,0.882,0.369,0.391,0.527,0.882,0.369
1,0.340,0.673,0.101,-0.114,0.340,0.673,0.101,0.634,0.340,0.673,0.101
2,0.248,0.605,0.352,-0.208,0.248,0.605,0.352,0.600,0.248,0.605,0.352
3,0.264,0.066,0.051,0.619,0.264,0.066,0.050,0.903,0.264,0.066,0.051
4,0.571,0.550,0.317,-0.473,0.571,0.550,0.317,0.503,0.571,0.550,0.317
5,0.194,0.894,0.441,-0.530,0.194,0.894,0.441,0.482,0.194,0.894,0.441
6,0.392,0.973,0.729,-1.094,0.392,0.973,0.729,0.276,0.392,0.973,0.729
7,0.832,0.088,0.879,-0.798,0.832,0.087,0.879,0.384,0.832,0.088,0.879
8,0.334,0.776,0.377,-0.488,0.334,0.776,0.377,0.497,0.334,0.776,0.377
9,0.753,0.838,0.107,-0.699,0.753,0.839,0.107,0.420,0.753,0.838,0.107
10,0.245,0.522,0.533,-0.313,0.245,0.522,0.533,0.562,0.245,0.522,0.533
11,0.164,0.625,0.196,0.015,0.163,0.625,0.196,0.682,0.164,0.625,0.196
12,0.054,0.974,0.911,-0.939,0.054,0.974,0.912,0.332,0.054,0.974,0.911
13,0.630,0.610,0.342,-0.603,0.630,0.610,0.342,0.455,0.630,0.610,0.342
14,0.670,0.016,0.758,-0.444,0.670,0.016,0.759,0.513,0.670,0.016,0.758
15,0.815,0.032,0.156,-0.003,0.815,0.032,0.156,0.675,0.815,0.032,0.156
16,0.597,0.216,0.099,0.087,0.597,0.216,0.099,0.708,0.597,0.216,0.099
17,0.316,0.418,0.074,0.192,0.316,0.418,0.073,0.746,0.316,0.418,0.074
18,0.398,0.444,0.862,-0.705,0.398,0.444,0.863,0.418,0.398,0.444,0.862
19,0.048,0.253,0.826,-0.127,0.048,0.253,0.826,0.629,0.048,0.253,0.826
20,0.702,0.157,0.573,-0.433,0.702,0.157,0.573,0.517,0.702,0.157,0.573
21,0.544,0.947,0.145,-0.636,0.544,0.947,0.145,0.443,0.544,0.947,0.145
22,0.388,0.711,0.920,-1.019,0.388,0.711,0.920,0.303,0.388,0.711,0.920
23,0.605,0.535,0.736,-0.888,0.604,0.535,0.736,0.351,0.605,0.535,0.736
24,0.694,0.724,0.388,-0.809,0.694,0.725,0.388,0.380,0.694,0.724,0.388
25,0.125,0.238,0.804,-0.168,0.125,0.238,0.805,0.615,0.125,0.238,0.804
26,0.796,0.635,0.401,-0.834,0.796,0.635,0.401,0.371,0.796,0.635,0.401
27,0.715,0.101,0.788,-0.604,0.715,0.101,0.788,0.455,0.715,0.101,0.788
28,0.668,0.422,0.178,-0.269,0.668,0.422,0.178,0.578,0.668,0.422,0.178
29,0.566,0.839,0.827,-1.231,0.566,0.839,0.827,0.225,0.566,0.839,0.827
30,0.400,0.998,0.644,-1.041,0.400,0.998,0.644,0.295,0.400,0.998,0.644
31,0.473,0.282,0.185,0.060,0.473,0.282,0.184,0.698,0.473,0.282,0.185
32,0.111,0.322,0.998,-0.431,0.111,0.322,0.998,0.518,0.111,0.322,0.998
33,0.636,0.409,0.806,-0.853,0.636,0.409,0.806,0.364,0.636,0.409,0.806
34,0.030,0.393,0.250,0.328,0.029,0.393,0.249,0.796,0.030,0.393,0.250
35,0.982,0.149,0.809,-0.941,0.982,0.149,0.809,0.332,0.982,0.149,0.809
36,0.426,0.914,0.478,-0.818,0.426,0.914,0.478,0.377,0.426,0.914,0.478
37,0.897,0.890,0.676,-1.463,0.897,0.890,0.676,0.141,0.897,0.890,0.676
38,0.274,0.159,0.044,0.523,0.274,0.159,0.043,0.868,0.274,0.159,0.044
39,0.167,0.596,0.263,-0.025,0.167,0.596,0.262,0.667,0.167,0.596,0.263
40,0.080,0.486,0.708,-0.274,0.080,0.486,0.708,0.576,0.080,0.486,0.708
