# {'f': [0, 3], 'M': 4, 'x': [8, 10], 'mu': [11, 11], 'f_': [4, 7], 'n': 1000, 'y_': [14, 15], 'N': 3, 'y': [12, 13]}
374,0.025,0.026,0.030,5.206,0.003,0.003,0.003,0.572,0.006,0.560,0.497,1.201,17.512,3.329,0.696,0.587
608,0.066,8.627,0.203,1.840,0.008,1.000,0.022,0.201,0.866,0.985,0.005,0.916,-15.925,16.710,0.401,0.693
692,0.284,0.201,7.373,0.095,0.035,0.023,0.816,0.010,0.992,0.030,0.608,0.869,-14.435,-3.431,0.414,0.533
570,1.061,1.037,1.443,2.181,0.129,0.120,0.160,0.239,0.483,0.509,0.507,0.832,-40.662,-1.432,0.182,0.549
401,1.019,0.889,1.430,2.393,0.124,0.103,0.158,0.262,0.438,0.482,0.543,0.824,-19.063,-19.801,0.373,0.403
424,0.928,1.091,1.391,2.358,0.113,0.127,0.154,0.258,0.447,0.509,0.449,0.792,37.820,-5.623,0.875,0.516
103,2.261,8.125,0.636,0.106,0.275,0.942,0.070,0.011,0.992,0.952,0.173,0.778,-22.044,-44.198,0.346,0.209
761,1.061,1.061,1.500,2.121,0.129,0.123,0.166,0.232,0.500,0.500,0.500,0.778,42.514,-7.829,0.917,0.498
870,0.264,0.264,6.959,0.605,0.032,0.031,0.770,0.066,0.945,0.034,0.499,0.766,32.498,-10.354,0.828,0.478
369,2.000,8.147,1.047,0.017,0.243,0.944,0.116,0.001,0.999,0.921,0.153,0.765,-9.134,35.209,0.460,0.840
394,0.037,0.017,8.061,0.039,0.004,0.002,0.892,0.004,0.997,0.003,0.728,0.763,-19.400,-21.143,0.370,0.393
842,8.216,1.398,0.290,1.476,1.000,0.162,0.032,0.162,0.888,0.978,0.893,0.718,24.423,-51.990,0.757,0.147
743,0.006,0.003,7.232,1.036,0.001,0.000,0.800,0.113,0.909,0.001,0.651,0.709,-37.343,2.434,0.211,0.580
855,0.806,0.918,1.607,2.518,0.098,0.106,0.178,0.276,0.430,0.414,0.459,0.703,-59.341,7.196,0.017,0.618
335,0.520,7.981,2.127,0.803,0.063,0.925,0.235,0.087,0.938,0.835,0.041,0.650,26.379,52.936,0.774,0.981
561,0.239,0.204,6.621,1.241,0.029,0.024,0.733,0.136,0.882,0.030,0.550,0.630,-36.030,-9.349,0.223,0.486
