# {'N': 4, 'y': [14, 15], 'f': [0, 3], 'M': 4, 'mu_': [13, 13], 'f_': [4, 7], 'n': 1207, 'mu': [12, 12], 'y_': [16, 17], 'x': [8, 11]}
472,0.007,0.044,0.023,3.904,0.007,0.044,0.023,0.983,0.007,0.044,0.023,3.904,2.214,2.269,-29.205,35.066,0.286,0.745
845,0.099,0.002,0.845,2.134,0.100,0.002,0.862,0.632,0.099,0.002,0.845,2.134,0.931,1.083,-11.147,-2.141,0.396,0.483
844,0.841,0.023,0.059,2.202,0.848,0.023,0.060,0.646,0.841,0.023,0.059,2.202,0.911,1.104,-0.706,64.738,0.460,0.954
689,0.006,0.034,0.885,2.281,0.005,0.034,0.902,0.662,0.006,0.034,0.885,2.281,0.888,0.989,-12.869,-3.932,0.386,0.470
1080,0.804,0.140,0.004,2.141,0.810,0.141,0.004,0.634,0.804,0.140,0.004,2.141,0.826,1.025,0.482,63.403,0.467,0.944
197,0.011,0.801,0.809,0.824,0.011,0.808,0.825,0.373,0.011,0.801,0.809,0.824,0.815,1.001,26.812,-62.700,0.627,0.056
161,0.808,0.822,0.111,0.562,0.814,0.828,0.113,0.321,0.808,0.822,0.111,0.562,0.796,1.114,-70.774,-17.463,0.034,0.375
344,0.809,0.029,0.080,2.231,0.816,0.029,0.081,0.652,0.809,0.029,0.080,2.231,0.788,1.002,-1.168,64.553,0.457,0.952
1162,0.796,0.126,0.011,2.203,0.802,0.126,0.011,0.646,0.796,0.126,0.011,2.203,0.783,0.989,-0.245,63.431,0.462,0.944
1092,0.809,0.857,0.080,0.575,0.815,0.864,0.082,0.324,0.809,0.857,0.080,0.575,0.751,0.961,-70.852,-18.003,0.033,0.371
51,0.802,0.005,0.804,0.850,0.808,0.005,0.819,0.378,0.802,0.005,0.804,0.850,0.741,0.910,43.093,31.194,0.726,0.717
417,0.784,0.144,0.005,2.223,0.791,0.145,0.005,0.650,0.784,0.144,0.005,2.223,0.739,0.940,-0.603,62.994,0.460,0.941
893,0.019,0.133,0.793,2.190,0.019,0.134,0.808,0.644,0.019,0.133,0.793,2.190,0.738,0.936,-12.542,-2.981,0.388,0.477
160,0.800,0.852,0.852,-0.942,0.806,0.859,0.868,0.023,0.800,0.852,0.852,-0.942,0.722,0.855,87.944,9.773,0.998,0.567
838,0.837,0.800,0.848,-0.922,0.844,0.806,0.865,0.027,0.837,0.800,0.848,-0.922,0.720,0.860,87.223,10.511,0.994,0.572
287,0.829,0.899,0.003,0.708,0.835,0.906,0.003,0.350,0.829,0.899,0.003,0.708,0.717,0.794,-68.007,-19.196,0.051,0.363
142,0.002,0.853,0.770,0.901,0.001,0.859,0.785,0.388,0.002,0.853,0.770,0.901,0.699,0.814,25.641,-60.899,0.620,0.069
641,0.017,0.831,0.771,0.904,0.017,0.838,0.786,0.389,0.017,0.831,0.771,0.904,0.692,0.843,26.051,-60.729,0.622,0.070
559,0.006,0.862,0.080,2.166,0.006,0.869,0.081,0.639,0.006,0.862,0.080,2.166,0.640,0.741,-29.914,-50.621,0.282,0.141
924,0.060,0.792,0.034,2.337,0.061,0.798,0.035,0.673,0.060,0.792,0.034,2.337,0.639,0.837,-33.473,-39.245,0.260,0.221
949,0.866,0.783,0.104,0.641,0.873,0.789,0.106,0.337,0.866,0.783,0.104,0.641,0.613,0.800,-69.546,-18.149,0.041,0.370
1007,0.851,0.842,0.091,0.468,0.858,0.849,0.093,0.302,0.851,0.842,0.091,0.468,0.600,0.784,-72.550,-17.512,0.023,0.374
1030,0.120,0.054,0.819,2.060,0.121,0.054,0.834,0.618,0.120,0.054,0.819,2.060,0.575,0.738,-10.465,-2.007,0.400,0.484
