# {'n':241, 'M':2, 'N':2, 'f':[0,1], 'f_':[2,3], 'x':[4,5]}
0,0.821,0.364,0.956,0.034,0.821,0.364
1,0.076,1.875,0.087,0.927,0.076,1.875
2,0.807,0.409,0.941,0.060,0.807,0.409
3,0.843,0.317,0.983,0.006,0.843,0.317
4,0.704,1.053,0.820,0.441,0.704,1.053
5,0.708,1.026,0.825,0.425,0.708,1.026
6,0.683,1.215,0.795,0.537,0.683,1.215
7,0.772,0.581,0.900,0.162,0.772,0.581
8,0.049,1.930,0.056,0.959,0.049,1.930
9,0.224,1.584,0.261,0.754,0.224,1.584
10,0.146,1.712,0.169,0.830,0.146,1.712
11,0.060,1.908,0.069,0.946,0.060,1.908
12,0.855,0.308,0.997,0.000,0.855,0.308
13,0.129,1.750,0.150,0.853,0.129,1.750
14,0.155,1.691,0.180,0.818,0.155,1.691
15,0.801,0.433,0.934,0.075,0.801,0.433
16,0.215,1.592,0.250,0.759,0.215,1.592
17,0.831,0.339,0.968,0.019,0.831,0.339
18,0.126,1.756,0.147,0.856,0.126,1.756
19,0.758,0.669,0.883,0.214,0.758,0.669
20,0.720,0.931,0.839,0.369,0.720,0.931
21,0.723,0.910,0.843,0.356,0.723,0.910
22,0.817,0.376,0.952,0.041,0.817,0.376
23,0.158,1.685,0.183,0.815,0.158,1.685
24,0.124,1.761,0.144,0.859,0.124,1.761
25,0.057,1.914,0.065,0.950,0.057,1.914
26,0.072,1.882,0.084,0.931,0.072,1.882
27,0.654,1.421,0.763,0.658,0.654,1.421
28,0.199,1.611,0.231,0.771,0.199,1.611
29,0.220,1.588,0.255,0.757,0.220,1.588
30,0.670,1.312,0.780,0.594,0.670,1.312
31,0.738,0.801,0.860,0.292,0.738,0.801
32,0.652,1.437,0.760,0.667,0.652,1.437
33,0.753,0.698,0.878,0.231,0.753,0.698
34,0.658,1.398,0.766,0.645,0.658,1.398
35,0.104,1.810,0.120,0.888,0.104,1.810
36,0.085,1.855,0.098,0.915,0.085,1.855
37,0.217,1.590,0.253,0.758,0.217,1.590
38,0.639,1.523,0.745,0.718,0.639,1.523
39,0.016,1.982,0.017,0.990,0.016,1.982
40,0.710,1.009,0.827,0.415,0.710,1.009
41,0.011,1.987,0.013,0.993,0.011,1.987
42,0.839,0.323,0.978,0.009,0.839,0.323
43,0.814,0.385,0.949,0.046,0.814,0.385
44,0.139,1.726,0.162,0.838,0.139,1.726
45,0.048,1.931,0.055,0.960,0.048,1.931
46,0.701,1.080,0.816,0.456,0.701,1.080
47,0.659,1.390,0.768,0.640,0.659,1.390
48,0.054,1.919,0.063,0.952,0.054,1.919
49,0.032,1.959,0.036,0.976,0.032,1.959
50,0.150,1.703,0.174,0.825,0.150,1.703
51,0.789,0.492,0.919,0.109,0.789,0.492
52,0.024,1.970,0.028,0.983,0.024,1.970
53,0.711,0.999,0.829,0.409,0.711,0.999
54,0.823,0.357,0.960,0.029,0.823,0.357
55,0.252,1.573,0.293,0.748,0.252,1.573
56,0.731,0.849,0.852,0.321,0.731,0.849
57,0.858,0.307,1.000,0.000,0.858,0.307
58,0.096,1.828,0.111,0.899,0.096,1.828
59,0.713,0.988,0.830,0.402,0.713,0.988
60,0.677,1.260,0.788,0.563,0.677,1.260
61,0.692,1.147,0.806,0.496,0.692,1.147
62,0.849,0.311,0.990,0.002,0.849,0.311
63,0.038,1.949,0.044,0.970,0.038,1.949
64,0.176,1.649,0.204,0.793,0.176,1.649
