# {'n': 500, 'f_': [3, 5], 'mu': [8, 8], 'x': [6, 7], 'N': 2, 'y_': [11, 12], 'f': [0, 2], 'M': 3, 'y': [9, 10]}
135,1.500,1.500,2.121,0.165,0.161,0.229,0.500,0.500,1.536,-43.651,-12.448,0.048,0.218
341,0.037,0.030,6.341,0.003,0.003,0.687,0.005,0.569,1.500,-26.606,36.897,0.226,0.972
299,9.033,0.544,0.563,1.000,0.058,0.059,0.960,0.962,1.362,17.487,-10.548,0.686,0.247
272,0.371,9.273,0.223,0.040,1.000,0.023,0.985,0.025,1.299,-4.546,-7.450,0.456,0.295
145,2.029,8.134,0.049,0.224,0.877,0.004,0.996,0.156,1.000,16.664,13.455,0.678,0.614
452,2.254,7.835,0.121,0.249,0.845,0.011,0.991,0.178,0.928,-21.598,22.478,0.278,0.752
365,7.919,2.231,0.015,0.877,0.240,0.000,0.999,0.825,0.904,-22.842,26.856,0.265,0.819
297,4.301,4.509,0.047,0.476,0.486,0.003,0.995,0.485,0.817,21.507,-9.805,0.728,0.259
270,0.011,8.746,1.385,0.000,0.943,0.149,0.900,0.001,0.770,-9.064,4.761,0.409,0.481
216,0.553,7.851,2.005,0.060,0.847,0.216,0.841,0.045,0.756,-3.377,2.187,0.469,0.442
310,1.369,7.606,1.579,0.151,0.820,0.170,0.872,0.113,0.740,-12.854,9.240,0.370,0.550
254,1.189,8.017,1.363,0.131,0.864,0.146,0.894,0.094,0.736,3.199,-5.038,0.537,0.331
285,8.510,0.440,1.420,0.942,0.047,0.153,0.895,0.967,0.734,22.369,-8.058,0.737,0.285
180,8.954,0.748,0.498,0.991,0.080,0.052,0.965,0.947,0.727,9.945,7.106,0.608,0.517
333,8.045,1.039,1.469,0.891,0.112,0.158,0.886,0.918,0.725,-3.020,3.070,0.472,0.455
290,4.434,4.268,0.178,0.490,0.460,0.018,0.982,0.512,0.714,-34.884,-24.038,0.140,0.041
137,7.450,2.533,0.147,0.825,0.273,0.014,0.988,0.791,0.711,-15.026,7.938,0.347,0.530
