# {'f_': [4, 7], 'y_': [16, 17], 'x': [8, 11], 'y': [14, 15], 'f': [0, 3], 'N': 4, 'M': 4, 'mu_': [13, 13], 'n': 1207, 'mu': [12, 12]}
472,0.007,0.044,0.023,3.904,0.007,0.044,0.023,0.983,0.007,0.044,0.023,3.904,2.214,2.269,-29.205,35.066,0.286,0.745
1176,0.022,0.746,0.002,2.719,0.022,0.751,0.002,0.749,0.022,0.746,0.002,2.719,1.563,2.087,-33.299,-33.504,0.262,0.262
51,0.802,0.005,0.804,0.850,0.808,0.005,0.819,0.378,0.802,0.005,0.804,0.850,1.258,1.546,43.093,31.194,0.726,0.717
197,0.011,0.801,0.809,0.824,0.011,0.808,0.825,0.373,0.011,0.801,0.809,0.824,1.223,1.503,26.812,-62.700,0.627,0.056
178,0.052,0.032,0.722,2.803,0.052,0.032,0.735,0.765,0.052,0.032,0.722,2.803,1.074,1.465,-28.222,0.710,0.292,0.503
844,0.841,0.023,0.059,2.202,0.848,0.023,0.060,0.646,0.841,0.023,0.059,2.202,1.020,1.237,-0.706,64.738,0.460,0.954
192,0.780,0.679,0.009,1.770,0.786,0.684,0.009,0.560,0.780,0.679,0.009,1.770,1.019,1.311,28.571,-10.941,0.637,0.421
648,0.755,0.869,0.040,0.943,0.761,0.876,0.040,0.397,0.755,0.869,0.040,0.943,1.016,1.215,-60.264,-18.650,0.098,0.366
1053,0.755,0.757,0.744,0.128,0.761,0.762,0.758,0.235,0.755,0.757,0.744,0.128,1.000,1.898,75.489,-3.630,0.922,0.472
180,0.832,0.798,0.764,-0.586,0.839,0.804,0.779,0.094,0.832,0.798,0.764,-0.586,1.000,1.342,85.414,7.359,0.983,0.550
161,0.808,0.822,0.111,0.562,0.814,0.828,0.113,0.321,0.808,0.822,0.111,0.562,0.984,1.376,-70.774,-17.463,0.034,0.375
828,0.718,0.827,0.024,1.268,0.723,0.834,0.024,0.461,0.718,0.827,0.024,1.268,0.982,1.212,21.296,-17.884,0.593,0.372
113,0.793,0.734,0.048,1.233,0.799,0.740,0.049,0.454,0.793,0.734,0.048,1.233,0.972,1.297,21.296,-18.997,0.593,0.364
344,0.809,0.029,0.080,2.231,0.816,0.029,0.081,0.652,0.809,0.029,0.080,2.231,0.970,1.232,-1.168,64.553,0.457,0.952
845,0.099,0.002,0.845,2.134,0.100,0.002,0.862,0.632,0.099,0.002,0.845,2.134,0.931,1.083,-11.147,-2.141,0.396,0.483
1126,0.773,0.832,0.736,-0.270,0.779,0.838,0.750,0.156,0.773,0.832,0.736,-0.270,0.926,1.357,82.181,1.995,0.963,0.512
1162,0.796,0.126,0.011,2.203,0.802,0.126,0.011,0.646,0.796,0.126,0.011,2.203,0.922,1.166,-0.245,63.431,0.462,0.944
540,0.776,0.753,0.132,1.001,0.782,0.759,0.135,0.408,0.776,0.753,0.132,1.001,0.921,1.424,-59.838,-17.046,0.100,0.378
429,0.822,0.806,0.735,-0.398,0.828,0.812,0.749,0.131,0.822,0.806,0.735,-0.398,0.911,1.307,84.299,4.510,0.976,0.529
902,0.756,0.011,0.102,2.483,0.762,0.011,0.104,0.702,0.756,0.011,0.102,2.483,0.910,1.212,-5.512,55.246,0.430,0.887
689,0.006,0.034,0.885,2.281,0.005,0.034,0.902,0.662,0.006,0.034,0.885,2.281,0.888,0.989,-12.869,-3.932,0.386,0.470
893,0.019,0.133,0.793,2.190,0.019,0.134,0.808,0.644,0.019,0.133,0.793,2.190,0.880,1.115,-12.542,-2.981,0.388,0.477
573,0.750,0.729,0.764,0.218,0.755,0.735,0.778,0.253,0.750,0.729,0.764,0.218,0.868,1.654,74.265,-4.249,0.915,0.468
1186,0.791,0.748,0.847,-0.473,0.797,0.754,0.863,0.116,0.791,0.748,0.847,-0.473,0.868,1.162,83.831,6.089,0.973,0.541
439,0.818,0.701,0.785,-0.040,0.825,0.706,0.800,0.202,0.818,0.701,0.785,-0.040,0.840,1.348,78.076,0.281,0.938,0.500
843,0.021,0.782,0.649,1.955,0.021,0.788,0.662,0.597,0.021,0.782,0.649,1.955,0.839,1.094,9.158,-42.961,0.519,0.195
1080,0.804,0.140,0.004,2.141,0.810,0.141,0.004,0.634,0.804,0.140,0.004,2.141,0.826,1.025,0.482,63.403,0.467,0.944
792,0.024,0.719,0.790,1.395,0.024,0.725,0.805,0.486,0.024,0.719,0.790,1.395,0.817,1.047,16.742,-50.555,0.565,0.142
287,0.829,0.899,0.003,0.708,0.835,0.906,0.003,0.350,0.829,0.899,0.003,0.708,0.808,0.894,-68.007,-19.196,0.051,0.363
193,0.754,0.827,0.724,-0.056,0.760,0.834,0.738,0.198,0.754,0.827,0.724,-0.056,0.806,1.267,79.190,-0.518,0.945,0.494
470,0.825,0.768,0.706,-0.011,0.832,0.774,0.720,0.207,0.825,0.768,0.706,-0.011,0.795,1.272,78.076,-0.854,0.938,0.492
704,0.806,0.011,0.713,1.391,0.812,0.011,0.726,0.485,0.806,0.011,0.713,1.391,0.795,0.992,31.129,31.051,0.653,0.716
756,0.785,0.704,0.840,-0.115,0.791,0.709,0.856,0.187,0.785,0.704,0.840,-0.115,0.789,1.179,78.851,1.319,0.943,0.507
308,0.780,0.026,0.733,1.340,0.787,0.026,0.747,0.475,0.780,0.026,0.733,1.340,0.788,1.036,31.637,30.563,0.656,0.713
438,0.039,0.776,0.681,1.736,0.040,0.782,0.694,0.554,0.039,0.776,0.681,1.736,0.787,1.061,12.026,-43.904,0.537,0.189
110,0.593,0.808,0.781,0.726,0.598,0.814,0.796,0.354,0.593,0.808,0.781,0.726,0.780,1.695,64.097,-10.531,0.853,0.424
783,0.035,0.086,0.739,2.605,0.035,0.086,0.753,0.726,0.035,0.086,0.739,2.605,0.778,1.083,-24.773,-0.578,0.313,0.494
24,0.690,0.771,0.763,0.385,0.695,0.777,0.777,0.286,0.690,0.771,0.763,0.385,0.776,1.581,70.599,-7.592,0.893,0.444
1092,0.809,0.857,0.080,0.575,0.815,0.864,0.082,0.324,0.809,0.857,0.080,0.575,0.775,0.991,-70.852,-18.003,0.033,0.371
637,0.776,0.617,0.008,2.207,0.782,0.622,0.008,0.647,0.776,0.617,0.008,2.207,0.770,0.995,29.200,-4.929,0.641,0.463
230,0.820,0.769,0.141,0.687,0.827,0.775,0.144,0.346,0.820,0.769,0.141,0.687,0.768,1.125,-68.720,-17.471,0.046,0.375
142,0.002,0.853,0.770,0.901,0.001,0.859,0.785,0.388,0.002,0.853,0.770,0.901,0.758,0.883,25.641,-60.899,0.620,0.069
641,0.017,0.831,0.771,0.904,0.017,0.838,0.786,0.389,0.017,0.831,0.771,0.904,0.750,0.914,26.051,-60.729,0.622,0.070
871,0.712,0.018,0.666,2.307,0.718,0.018,0.679,0.667,0.712,0.018,0.666,2.307,0.746,1.066,11.975,27.858,0.537,0.694
963,0.035,0.794,0.592,2.211,0.036,0.800,0.604,0.648,0.035,0.794,0.592,2.211,0.744,0.973,6.860,-43.282,0.505,0.193
999,0.153,0.010,0.745,2.434,0.155,0.010,0.760,0.692,0.153,0.010,0.745,2.434,0.742,0.990,-21.728,-0.946,0.332,0.491
