# {'f_': [5, 9], 'y_': [18, 19], 'x': [10, 13], 'y': [16, 17], 'f': [0, 4], 'N': 4, 'M': 5, 'mu_': [15, 15], 'n': 2000, 'mu': [14, 14]}
1577,0.033,0.028,0.047,6.168,0.345,0.005,0.004,0.006,0.690,0.039,0.964,0.007,0.473,0.553,2.484,3.621,23.993,82.253,0.661,0.937
1358,0.037,0.037,0.060,0.053,4.803,0.005,0.005,0.008,0.006,0.537,0.013,0.626,0.457,0.498,1.750,3.289,-57.050,-44.971,0.238,0.118
416,0.004,0.006,0.006,4.389,2.572,0.001,0.001,0.001,0.491,0.288,0.662,0.001,0.555,0.398,1.333,2.721,1.787,50.058,0.545,0.730
116,0.477,1.862,0.841,1.388,4.575,0.066,0.240,0.107,0.155,0.511,0.320,0.628,0.737,0.160,1.237,2.781,30.984,-50.683,0.698,0.081
66,0.433,0.376,0.534,0.821,3.821,0.060,0.048,0.068,0.092,0.427,0.184,0.485,0.523,0.545,1.188,3.134,-3.057,-25.309,0.520,0.244
576,1.261,1.330,0.711,2.560,2.277,0.175,0.171,0.091,0.286,0.254,0.609,0.417,0.764,0.483,1.083,5.556,59.156,-8.988,0.845,0.349
219,1.064,1.346,0.655,2.727,2.432,0.147,0.173,0.083,0.305,0.272,0.594,0.377,0.768,0.426,0.923,4.158,59.657,-8.320,0.847,0.354
446,0.016,0.022,4.556,4.479,0.000,0.002,0.003,0.581,0.501,0.000,1.000,0.505,0.004,0.389,0.878,1.511,64.282,18.920,0.871,0.529
989,0.513,0.526,0.732,1.727,2.727,0.071,0.068,0.093,0.193,0.305,0.405,0.344,0.501,0.492,0.875,3.692,6.467,-2.964,0.570,0.388
1238,0.656,0.670,0.812,1.469,2.483,0.091,0.086,0.104,0.164,0.278,0.419,0.446,0.546,0.493,0.842,4.384,9.137,-4.843,0.584,0.376
644,0.468,0.373,7.320,0.138,1.163,0.065,0.048,0.934,0.015,0.130,0.900,0.988,0.052,0.572,0.822,0.895,56.053,38.378,0.828,0.654
460,0.109,0.100,0.164,2.673,3.777,0.015,0.013,0.021,0.299,0.422,0.393,0.052,0.468,0.526,0.821,2.006,-14.416,11.056,0.461,0.478
300,0.049,0.059,0.063,1.841,5.074,0.007,0.008,0.008,0.206,0.567,0.222,0.034,0.562,0.443,0.786,1.403,-44.064,1.197,0.306,0.415
1534,1.210,0.739,1.709,3.480,1.420,0.168,0.095,0.218,0.389,0.159,0.789,0.362,0.441,0.651,0.774,2.632,54.550,-0.906,0.821,0.401
1487,0.089,0.084,0.143,5.088,1.802,0.012,0.011,0.018,0.569,0.201,0.783,0.024,0.451,0.517,0.750,1.344,8.762,60.349,0.582,0.796
799,0.479,0.572,0.838,1.760,2.611,0.066,0.074,0.107,0.197,0.292,0.429,0.361,0.463,0.444,0.740,3.274,6.884,-2.338,0.572,0.392
262,0.018,0.015,6.817,1.341,1.344,0.002,0.002,0.870,0.150,0.150,0.878,0.876,0.002,0.548,0.737,0.849,52.651,37.698,0.811,0.650
518,0.149,0.161,0.194,2.164,4.316,0.021,0.021,0.025,0.242,0.482,0.298,0.086,0.539,0.476,0.731,1.585,-27.210,16.118,0.394,0.511
885,1.388,1.258,2.194,3.620,0.251,0.192,0.162,0.280,0.405,0.028,0.965,0.428,0.450,0.531,0.723,1.918,52.607,3.546,0.810,0.430
1959,0.007,0.007,0.012,1.637,5.371,0.001,0.001,0.002,0.183,0.600,0.188,0.006,0.424,0.482,0.722,1.206,-44.865,-0.266,0.302,0.405
1878,0.672,0.641,0.991,1.092,2.831,0.093,0.083,0.126,0.122,0.316,0.351,0.569,0.479,0.515,0.712,3.054,5.874,-7.430,0.566,0.359
52,0.617,0.548,0.664,1.292,3.081,0.086,0.071,0.085,0.144,0.344,0.316,0.437,0.569,0.538,0.703,2.577,4.621,-8.824,0.560,0.350
1756,0.750,0.750,1.061,1.500,2.121,0.104,0.097,0.135,0.168,0.237,0.500,0.500,0.500,0.500,0.695,4.964,12.643,-4.215,0.602,0.380
1335,0.514,0.591,0.650,1.204,3.224,0.071,0.076,0.083,0.135,0.360,0.290,0.447,0.559,0.456,0.691,2.390,4.264,-9.588,0.558,0.345
1863,1.424,1.120,0.965,3.052,1.841,0.197,0.144,0.123,0.341,0.206,0.705,0.377,0.688,0.576,0.688,3.156,57.843,-6.557,0.838,0.365
1137,0.227,0.238,0.462,3.309,2.902,0.031,0.031,0.059,0.370,0.324,0.546,0.108,0.394,0.486,0.685,2.022,-13.647,23.154,0.465,0.556
1748,0.840,0.789,3.593,4.005,0.074,0.116,0.102,0.458,0.448,0.008,0.991,0.481,0.198,0.520,0.663,1.474,67.358,17.882,0.887,0.522
585,0.750,0.594,0.921,1.445,2.445,0.104,0.076,0.117,0.162,0.273,0.431,0.473,0.512,0.574,0.654,3.319,10.008,-5.165,0.588,0.374
99,0.224,0.111,7.308,2.087,0.206,0.031,0.014,0.932,0.233,0.023,0.983,0.823,0.022,0.708,0.647,0.705,52.678,39.425,0.811,0.661
1833,0.052,0.086,0.130,3.595,3.341,0.007,0.011,0.017,0.402,0.373,0.524,0.029,0.418,0.346,0.612,1.548,-17.224,24.560,0.446,0.565
549,1.405,1.308,2.615,3.112,0.519,0.195,0.169,0.334,0.348,0.058,0.927,0.513,0.403,0.523,0.604,2.083,50.721,3.809,0.801,0.432
1345,0.112,0.179,0.211,3.341,3.296,0.015,0.023,0.027,0.374,0.368,0.506,0.057,0.499,0.356,0.593,1.653,-16.655,23.413,0.449,0.558
1081,1.877,2.628,5.667,0.575,0.018,0.260,0.339,0.723,0.064,0.002,0.998,0.944,0.330,0.395,0.592,0.821,60.125,33.046,0.850,0.620
1894,1.426,1.322,1.239,3.454,1.277,0.198,0.170,0.158,0.386,0.143,0.810,0.375,0.639,0.524,0.589,2.423,56.456,-1.590,0.831,0.397
906,0.883,2.607,0.704,2.527,3.183,0.122,0.336,0.090,0.283,0.356,0.556,0.537,0.841,0.208,0.578,2.174,48.371,-32.877,0.788,0.195
1205,0.115,6.235,0.385,4.510,0.569,0.016,0.803,0.049,0.504,0.064,0.953,0.602,0.961,0.012,0.577,0.734,59.406,-40.184,0.846,0.148
399,1.186,1.574,0.902,2.624,2.052,0.164,0.203,0.115,0.293,0.229,0.655,0.439,0.727,0.411,0.571,3.210,58.046,-8.425,0.839,0.353
1896,0.016,0.024,0.040,0.054,4.926,0.002,0.003,0.005,0.006,0.551,0.010,0.472,0.400,0.371,0.571,1.041,-57.766,-44.232,0.234,0.122
1560,0.576,0.354,7.469,0.994,0.521,0.080,0.046,0.953,0.111,0.058,0.956,0.916,0.057,0.649,0.569,0.628,54.979,38.387,0.823,0.654
1696,0.219,0.138,0.279,3.339,3.217,0.030,0.018,0.036,0.373,0.360,0.514,0.072,0.476,0.642,0.569,1.602,-15.596,23.461,0.454,0.558
563,1.683,1.293,1.597,3.202,1.050,0.233,0.167,0.204,0.358,0.117,0.843,0.441,0.589,0.583,0.567,2.352,56.181,-0.523,0.829,0.404
1957,1.560,1.257,0.602,2.399,2.555,0.216,0.162,0.077,0.268,0.286,0.569,0.456,0.814,0.568,0.562,2.687,59.750,-10.182,0.848,0.342
1601,0.352,0.295,0.539,2.504,3.179,0.049,0.038,0.069,0.280,0.355,0.437,0.175,0.449,0.556,0.555,1.750,-9.938,13.162,0.484,0.492
1153,0.057,2.311,0.223,2.052,5.613,0.008,0.298,0.028,0.229,0.627,0.321,0.539,0.939,0.016,0.552,0.892,33.617,-53.932,0.711,0.060
853,0.075,0.109,6.388,2.054,1.340,0.010,0.014,0.815,0.230,0.150,0.875,0.802,0.013,0.384,0.550,0.683,50.456,36.695,0.799,0.644
820,0.006,0.004,6.593,2.268,1.129,0.001,0.000,0.841,0.254,0.126,0.898,0.789,0.001,0.665,0.538,0.640,50.672,37.542,0.800,0.649
187,0.000,0.001,0.001,3.410,3.852,0.000,0.000,0.000,0.381,0.431,0.461,0.000,0.533,0.290,0.538,1.249,-21.131,24.111,0.425,0.562
605,0.392,0.299,4.831,3.832,0.106,0.054,0.038,0.616,0.429,0.012,0.989,0.575,0.065,0.586,0.537,0.890,64.862,20.068,0.874,0.536
1796,0.577,0.657,0.926,3.751,1.881,0.080,0.085,0.118,0.420,0.210,0.718,0.208,0.482,0.459,0.532,1.565,11.972,46.173,0.598,0.705
1250,0.533,2.589,1.069,2.301,3.309,0.074,0.334,0.136,0.257,0.370,0.532,0.568,0.755,0.129,0.529,1.787,47.626,-32.848,0.784,0.196
1929,0.654,0.624,1.202,1.912,2.079,0.091,0.080,0.153,0.214,0.232,0.550,0.424,0.410,0.515,0.525,3.456,14.357,-2.862,0.611,0.389
584,0.852,0.771,0.944,1.569,2.170,0.118,0.099,0.120,0.175,0.243,0.499,0.483,0.562,0.532,0.517,3.592,12.429,-5.136,0.601,0.374
