# {'N': 2, 'y': [10, 11], 'f': [0, 2], 'M': 3, 'mu_': [9, 9], 'f_': [3, 5], 'n': 500, 'mu': [8, 8], 'y_': [12, 13], 'x': [6, 7]}
135,1.500,1.500,2.121,0.165,0.161,0.229,0.500,0.500,1.536,22.584,-3.117,-25.730,0.510,0.082
272,0.371,9.273,0.223,0.040,1.000,0.023,0.985,0.025,0.922,0.944,-50.293,-8.672,0.000,0.308
299,9.033,0.544,0.563,1.000,0.058,0.059,0.960,0.962,0.778,0.826,42.296,-4.767,1.000,0.359
180,8.954,0.748,0.498,0.991,0.080,0.052,0.965,0.947,0.727,0.775,41.813,-5.574,0.995,0.349
341,0.037,0.030,6.341,0.003,0.003,0.687,0.005,0.569,0.704,1.029,0.071,29.239,0.544,0.810
2,0.286,9.220,0.429,0.031,0.994,0.045,0.970,0.020,0.682,0.708,-50.105,-7.528,0.002,0.323
270,0.011,8.746,1.385,0.000,0.943,0.149,0.900,0.001,0.682,0.723,-48.100,-6.364,0.024,0.338
325,1.315,1.425,2.524,0.145,0.153,0.272,0.417,0.475,0.651,5.127,-7.625,-26.350,0.461,0.074
207,8.791,0.438,1.055,0.973,0.047,0.113,0.924,0.968,0.644,0.695,41.586,-4.138,0.992,0.368
358,0.285,0.270,6.012,0.031,0.029,0.651,0.042,0.517,0.628,1.010,-0.958,27.302,0.533,0.784
431,1.525,1.316,2.392,0.168,0.142,0.258,0.446,0.547,0.594,5.119,-3.250,-28.121,0.508,0.050
285,8.510,0.440,1.420,0.942,0.047,0.153,0.895,0.967,0.552,0.617,40.854,-3.449,0.984,0.377
3,0.465,0.506,5.767,0.051,0.054,0.625,0.076,0.474,0.547,0.953,-1.711,24.685,0.525,0.749
390,1.302,1.609,2.388,0.143,0.173,0.258,0.455,0.433,0.537,4.666,-6.432,-25.110,0.474,0.090
30,0.904,8.625,0.888,0.099,0.930,0.095,0.935,0.067,0.534,0.640,-48.003,-8.774,0.025,0.306
125,0.536,8.765,1.015,0.059,0.945,0.109,0.927,0.039,0.524,0.591,-47.759,-7.461,0.027,0.324
19,0.324,8.975,0.857,0.035,0.968,0.091,0.939,0.023,0.520,0.557,-49.141,-7.044,0.012,0.329
459,0.699,8.770,0.867,0.077,0.946,0.092,0.937,0.051,0.509,0.586,-48.453,-7.990,0.020,0.317
145,2.029,8.134,0.049,0.224,0.877,0.004,0.996,0.156,0.508,0.582,-47.070,-11.777,0.035,0.267
153,1.360,1.652,2.240,0.150,0.178,0.242,0.485,0.439,0.500,5.435,-5.086,-24.494,0.488,0.098
183,0.919,8.842,0.512,0.101,0.954,0.054,0.963,0.066,0.500,0.556,-49.056,-9.529,0.013,0.296
368,0.603,8.861,0.811,0.066,0.956,0.086,0.942,0.043,0.494,0.555,-49.181,-8.398,0.012,0.311
127,0.661,0.552,5.653,0.072,0.059,0.612,0.096,0.557,0.491,0.888,-1.262,23.298,0.530,0.731
365,7.919,2.231,0.015,0.877,0.240,0.000,0.999,0.825,0.478,0.546,40.037,-8.285,0.976,0.313
324,1.408,1.651,2.162,0.155,0.178,0.233,0.501,0.449,0.476,6.105,-4.040,-24.560,0.500,0.097
452,2.254,7.835,0.121,0.249,0.845,0.011,0.991,0.178,0.470,0.564,-46.170,-12.270,0.045,0.260
171,0.727,0.601,5.565,0.080,0.064,0.603,0.107,0.560,0.465,0.863,-1.211,22.157,0.530,0.716
440,1.297,8.302,0.920,0.143,0.895,0.098,0.931,0.099,0.461,0.578,-47.570,-9.867,0.029,0.292
441,0.722,0.586,5.601,0.079,0.063,0.607,0.105,0.566,0.455,0.836,-0.463,22.568,0.538,0.721
318,1.275,8.300,0.947,0.141,0.895,0.101,0.929,0.097,0.448,0.565,-46.977,-9.229,0.036,0.300
448,8.327,1.161,1.036,0.922,0.125,0.111,0.922,0.912,0.447,0.551,40.585,-5.246,0.982,0.353
414,1.690,8.126,0.657,0.187,0.876,0.070,0.950,0.131,0.445,0.552,-46.668,-10.606,0.039,0.282
235,8.234,1.486,0.782,0.912,0.160,0.083,0.941,0.886,0.442,0.533,40.379,-6.277,0.979,0.339
211,1.648,1.317,2.336,0.182,0.142,0.252,0.468,0.571,0.429,3.896,-2.227,-28.096,0.519,0.050
24,7.844,2.151,0.316,0.868,0.232,0.033,0.975,0.830,0.427,0.512,39.425,-7.644,0.969,0.321
38,0.693,0.862,5.381,0.076,0.093,0.583,0.129,0.431,0.415,0.818,-1.872,20.831,0.523,0.698
28,8.239,0.970,1.323,0.912,0.104,0.142,0.899,0.925,0.411,0.509,40.269,-4.389,0.978,0.364
300,0.831,0.891,5.065,0.091,0.096,0.548,0.150,0.478,0.402,0.880,-1.602,15.227,0.526,0.624
254,1.189,8.017,1.363,0.131,0.864,0.146,0.894,0.094,0.400,0.545,-46.075,-8.642,0.046,0.308
126,0.690,7.967,1.814,0.076,0.859,0.195,0.858,0.055,0.396,0.505,-45.796,-7.317,0.049,0.326
450,1.655,1.463,2.096,0.183,0.157,0.226,0.517,0.539,0.389,5.636,-1.912,-26.006,0.523,0.078
56,0.921,0.861,4.990,0.101,0.093,0.540,0.158,0.521,0.388,0.868,-0.748,14.679,0.535,0.617
137,7.450,2.533,0.147,0.825,0.273,0.014,0.988,0.791,0.383,0.472,38.912,-8.903,0.963,0.305
333,8.045,1.039,1.469,0.891,0.112,0.158,0.886,0.918,0.378,0.485,39.433,-4.184,0.969,0.367
177,1.765,1.722,1.943,0.195,0.185,0.209,0.575,0.508,0.370,15.432,-0.738,-23.837,0.535,0.107
76,0.572,0.730,5.648,0.063,0.078,0.612,0.104,0.423,0.361,0.658,-2.333,23.330,0.518,0.731
