# {'N': 3, 'y': [11, 12], 'f': [0, 2], 'M': 3, 'mu_': [10, 10], 'f_': [3, 5], 'n': 578, 'mu': [9, 9], 'y_': [13, 14], 'x': [6, 8]}
289,0.005,0.018,1.002,0.006,0.019,0.990,0.005,0.018,1.002,2.176,2.212,-46.731,-3.984,0.036,0.550
524,0.000,0.881,0.591,0.000,0.935,0.516,0.000,0.881,0.591,1.615,1.728,-5.274,39.978,0.398,0.896
525,0.900,0.890,0.151,0.971,0.945,0.008,0.900,0.890,0.151,1.500,1.558,57.249,13.705,0.944,0.689
264,0.885,0.007,0.586,0.955,0.007,0.510,0.885,0.007,0.586,1.136,1.199,-36.529,-38.585,0.125,0.278
265,0.909,0.001,0.572,0.980,0.001,0.494,0.909,0.001,0.572,0.880,0.899,-37.061,-39.311,0.120,0.272
320,0.873,0.000,0.608,0.941,0.000,0.535,0.873,0.000,0.608,0.840,0.893,-36.001,-37.789,0.129,0.284
180,0.887,0.869,0.198,0.957,0.923,0.062,0.887,0.869,0.198,0.667,0.745,57.959,12.638,0.950,0.681
352,0.867,0.889,0.202,0.935,0.943,0.066,0.867,0.889,0.202,0.655,0.747,57.242,12.343,0.944,0.678
547,0.868,0.893,0.195,0.936,0.948,0.059,0.868,0.893,0.195,0.648,0.729,56.890,12.578,0.941,0.680
460,0.901,0.879,0.166,0.972,0.933,0.026,0.901,0.879,0.166,0.632,0.668,57.633,13.311,0.947,0.686
194,0.010,0.891,0.579,0.011,0.945,0.503,0.010,0.891,0.579,0.619,0.663,-5.259,39.415,0.398,0.891
6,0.879,0.007,0.596,0.948,0.007,0.522,0.879,0.007,0.596,0.583,0.620,-36.219,-38.273,0.127,0.280
75,0.875,0.863,0.234,0.943,0.916,0.104,0.875,0.863,0.234,0.500,0.596,57.966,11.472,0.950,0.671
455,0.867,0.888,0.203,0.934,0.943,0.068,0.867,0.888,0.203,0.500,0.571,57.312,12.181,0.945,0.677
91,0.017,0.898,0.574,0.018,0.953,0.496,0.017,0.898,0.574,0.467,0.499,-5.862,38.890,0.393,0.887
164,0.887,0.913,0.156,0.957,0.969,0.014,0.887,0.913,0.156,0.467,0.489,56.652,13.554,0.939,0.688
125,0.038,0.002,1.003,0.041,0.002,0.992,0.038,0.002,1.003,0.459,0.464,-46.611,-4.182,0.037,0.548
308,0.907,0.884,0.159,0.978,0.938,0.017,0.907,0.884,0.159,0.438,0.455,58.189,13.641,0.952,0.689
200,0.897,0.860,0.211,0.967,0.913,0.077,0.897,0.860,0.211,0.400,0.449,58.278,12.305,0.953,0.678
527,0.863,0.891,0.207,0.931,0.946,0.073,0.863,0.891,0.207,0.375,0.430,56.973,11.915,0.942,0.675
179,0.854,0.855,0.304,0.921,0.908,0.185,0.854,0.855,0.304,0.370,0.503,58.954,7.979,0.959,0.644
252,0.011,0.910,0.573,0.012,0.966,0.495,0.011,0.910,0.573,0.364,0.381,-5.384,38.915,0.397,0.887
380,0.840,0.865,0.321,0.906,0.918,0.204,0.840,0.865,0.321,0.363,0.508,58.747,7.250,0.957,0.638
237,0.832,0.876,0.326,0.898,0.929,0.210,0.832,0.876,0.326,0.352,0.490,58.368,7.015,0.954,0.636
