# {'f_': [4, 7], 'mu_': [12, 12], 'n': 1000, 'N': 3, 'M': 4, 'mu': [11, 11], 'x': [8, 10], 'f': [0, 3]}
374,0.025,0.026,0.030,5.206,0.003,0.003,0.003,0.572,0.006,0.560,0.497,1.201,2.111
608,0.066,8.627,0.203,1.840,0.008,1.000,0.022,0.201,0.866,0.985,0.005,0.916,0.923
692,0.284,0.201,7.373,0.095,0.035,0.023,0.816,0.010,0.992,0.030,0.608,0.869,1.078
570,1.061,1.037,1.443,2.181,0.129,0.120,0.160,0.239,0.483,0.509,0.507,0.832,6.996
401,1.019,0.889,1.430,2.393,0.124,0.103,0.158,0.262,0.438,0.482,0.543,0.824,5.185
424,0.928,1.091,1.391,2.358,0.113,0.127,0.154,0.258,0.447,0.509,0.449,0.792,5.460
761,1.061,1.061,1.500,2.121,0.129,0.123,0.166,0.232,0.500,0.500,0.500,0.778,7.136
103,2.261,8.125,0.636,0.106,0.275,0.942,0.070,0.011,0.992,0.952,0.173,0.778,0.835
870,0.264,0.264,6.959,0.605,0.032,0.031,0.770,0.066,0.945,0.034,0.499,0.766,1.036
369,2.000,8.147,1.047,0.017,0.243,0.944,0.116,0.001,0.999,0.921,0.153,0.765,0.811
394,0.037,0.017,8.061,0.039,0.004,0.002,0.892,0.004,0.997,0.003,0.728,0.763,0.857
842,8.216,1.398,0.290,1.476,1.000,0.162,0.032,0.162,0.888,0.978,0.893,0.718,0.741
743,0.006,0.003,7.232,1.036,0.001,0.000,0.800,0.113,0.909,0.001,0.651,0.709,0.886
855,0.806,0.918,1.607,2.518,0.098,0.106,0.178,0.276,0.430,0.414,0.459,0.703,3.948
335,0.520,7.981,2.127,0.803,0.063,0.925,0.235,0.087,0.938,0.835,0.041,0.650,0.754
561,0.239,0.204,6.621,1.241,0.029,0.024,0.733,0.136,0.882,0.030,0.550,0.630,0.889
348,4.634,5.435,0.488,0.166,0.564,0.630,0.054,0.017,0.985,0.957,0.449,0.595,0.970
178,0.733,8.590,0.039,1.596,0.089,0.996,0.004,0.175,0.883,0.997,0.054,0.593,0.597
911,4.075,6.103,0.421,0.291,0.496,0.707,0.046,0.031,0.975,0.963,0.375,0.575,0.850
377,0.849,0.964,1.044,3.341,0.103,0.112,0.115,0.366,0.293,0.565,0.460,0.566,2.154
234,0.020,7.315,0.662,3.078,0.002,0.848,0.073,0.338,0.747,0.943,0.002,0.562,0.664
443,3.921,6.199,0.378,0.502,0.477,0.719,0.042,0.054,0.957,0.967,0.359,0.532,0.785
766,7.373,2.597,0.366,1.157,0.897,0.301,0.040,0.126,0.907,0.970,0.784,0.531,0.620
65,0.896,7.468,2.547,0.610,0.109,0.866,0.282,0.066,0.951,0.792,0.076,0.530,0.663
542,3.566,6.435,0.946,0.195,0.434,0.746,0.105,0.021,0.983,0.919,0.322,0.526,0.726
719,7.505,2.415,0.680,1.002,0.913,0.280,0.075,0.109,0.920,0.945,0.802,0.519,0.620
516,7.660,0.152,1.459,2.167,0.932,0.018,0.161,0.237,0.827,0.880,0.987,0.517,0.566
201,0.825,1.019,1.782,2.350,0.100,0.118,0.197,0.258,0.481,0.404,0.433,0.512,3.238
783,0.650,0.802,1.471,3.327,0.079,0.093,0.163,0.365,0.315,0.390,0.433,0.509,1.781
