# {'n':500, 'M':2, 'N':1, 'f':[0,1], 'f_':[2,3], 'x':[4,4]}
0,0.435,1.343,0.435,0.337,0.435
1,0.821,0.589,0.822,0.148,0.821
2,0.970,0.106,0.972,0.027,0.970
3,0.076,3.671,0.075,0.920,0.076
4,0.316,2.226,0.316,0.558,0.316
5,0.274,2.543,0.274,0.637,0.274
6,0.807,0.619,0.808,0.156,0.807
7,0.510,0.960,0.511,0.241,0.510
8,0.558,0.832,0.559,0.209,0.558
9,0.608,0.776,0.608,0.195,0.608
10,0.588,0.792,0.588,0.199,0.588
11,0.453,1.230,0.453,0.309,0.453
12,0.877,0.435,0.877,0.110,0.877
13,0.843,0.532,0.844,0.134,0.843
14,0.362,1.865,0.362,0.468,0.362
15,0.861,0.481,0.862,0.121,0.861
16,0.967,0.121,0.968,0.031,0.967
17,0.874,0.443,0.875,0.112,0.874
18,0.704,0.749,0.705,0.188,0.704
19,0.939,0.221,0.941,0.056,0.939
20,0.364,1.852,0.364,0.464,0.364
21,0.307,2.297,0.307,0.576,0.307
22,0.708,0.747,0.708,0.188,0.708
23,0.321,2.190,0.321,0.549,0.321
24,0.975,0.088,0.976,0.023,0.975
25,0.868,0.460,0.869,0.116,0.868
26,0.683,0.756,0.683,0.190,0.683
27,0.515,0.946,0.515,0.237,0.515
28,0.899,0.362,0.900,0.091,0.899
29,0.772,0.684,0.773,0.172,0.772
30,0.935,0.237,0.936,0.060,0.935
31,0.049,3.788,0.048,0.949,0.049
32,0.582,0.798,0.582,0.200,0.582
33,0.224,2.885,0.224,0.723,0.224
34,0.541,0.870,0.541,0.218,0.541
35,0.146,3.336,0.145,0.836,0.146
36,0.060,3.739,0.059,0.937,0.060
37,0.855,0.498,0.856,0.125,0.855
38,0.129,3.420,0.129,0.857,0.129
39,0.155,3.289,0.154,0.824,0.155
40,0.569,0.814,0.570,0.205,0.569
41,0.801,0.632,0.802,0.159,0.801
42,0.215,2.941,0.215,0.737,0.215
43,0.460,1.194,0.460,0.300,0.460
44,0.320,2.199,0.320,0.551,0.320
45,0.831,0.565,0.831,0.142,0.831
46,0.460,1.190,0.460,0.299,0.460
47,0.126,3.433,0.126,0.861,0.126
48,0.758,0.704,0.758,0.177,0.758
49,0.720,0.740,0.721,0.186,0.720
50,0.723,0.738,0.724,0.185,0.723
51,0.288,2.440,0.288,0.612,0.288
52,0.333,2.093,0.333,0.525,0.333
53,0.418,1.452,0.418,0.364,0.418
54,0.582,0.797,0.583,0.200,0.582
55,0.817,0.598,0.818,0.150,0.817
56,0.158,3.274,0.157,0.821,0.158
57,0.124,3.443,0.124,0.863,0.124
58,0.057,3.754,0.056,0.941,0.057
59,0.532,0.892,0.532,0.224,0.532
60,0.291,2.417,0.291,0.606,0.291
61,0.072,3.685,0.072,0.923,0.072
62,0.654,0.762,0.655,0.191,0.654
63,0.630,0.767,0.630,0.193,0.630
64,0.199,3.041,0.199,0.762,0.199
65,0.562,0.826,0.563,0.207,0.562
66,0.220,2.914,0.219,0.730,0.220
67,0.670,0.759,0.670,0.191,0.670
68,0.867,0.465,0.868,0.117,0.867
69,0.738,0.726,0.739,0.182,0.738
70,0.652,0.762,0.653,0.191,0.652
71,0.753,0.710,0.754,0.178,0.753
72,0.305,2.311,0.305,0.579,0.305
73,0.658,0.761,0.658,0.191,0.658
74,0.522,0.923,0.522,0.232,0.522
75,0.507,0.972,0.508,0.244,0.507
76,0.104,3.542,0.103,0.888,0.104
77,0.955,0.165,0.956,0.042,0.955
78,0.279,2.507,0.279,0.629,0.279
79,0.085,3.630,0.084,0.910,0.085
80,0.217,2.928,0.217,0.734,0.217
81,0.639,0.764,0.640,0.192,0.639
82,0.016,3.929,0.015,0.985,0.016
83,0.536,0.882,0.536,0.222,0.536
84,0.398,1.599,0.398,0.401,0.398
85,0.628,0.768,0.628,0.193,0.628
86,0.543,0.864,0.544,0.217,0.543
87,0.710,0.746,0.711,0.187,0.710
88,0.011,3.946,0.011,0.989,0.011
89,0.574,0.808,0.575,0.203,0.574
90,0.595,0.785,0.595,0.197,0.595
91,0.839,0.543,0.840,0.136,0.839
92,0.814,0.605,0.815,0.152,0.814
93,0.139,3.368,0.139,0.844,0.139
94,0.489,1.044,0.490,0.262,0.489
95,0.342,2.022,0.342,0.507,0.342
96,0.048,3.792,0.047,0.950,0.048
97,0.701,0.750,0.701,0.189,0.701
98,0.932,0.248,0.933,0.063,0.932
99,0.659,0.761,0.659,0.191,0.659
100,0.054,3.763,0.054,0.943,0.054
101,0.287,2.449,0.287,0.614,0.287
102,0.428,1.388,0.428,0.348,0.428
103,0.473,1.123,0.473,0.282,0.473
104,0.032,3.861,0.031,0.968,0.032
105,0.150,3.316,0.149,0.831,0.150
106,0.548,0.852,0.549,0.214,0.548
107,0.414,1.479,0.414,0.371,0.414
108,0.294,2.393,0.294,0.600,0.294
109,0.422,1.424,0.422,0.357,0.422
110,0.969,0.113,0.970,0.029,0.969
111,0.410,1.512,0.410,0.379,0.410
112,0.911,0.321,0.912,0.081,0.911
113,0.385,1.692,0.385,0.424,0.385
114,0.789,0.657,0.789,0.165,0.789
115,0.984,0.055,0.985,0.014,0.984
116,0.024,3.892,0.024,0.975,0.024
117,0.711,0.745,0.712,0.187,0.711
118,0.519,0.932,0.519,0.234,0.519
