1.1677e-01	1.7800e-01	6.2408e-02	9.0816e-01	3.5500e-01
4.1215e-01	3.0035e-01	4.3640e-01	3.8622e-01	6.3270e-01
4.1182e-01	4.2178e-01	5.2013e-01	5.2788e-01	3.2143e-01
5.6756e-01	2.9112e-01	3.2225e-01	4.5587e-01	5.3053e-01
5.4111e-01	3.2118e-01	4.7925e-01	4.7132e-01	3.9016e-01
1.3886e-01	2.4587e-01	8.7864e-01	1.8584e-01	3.3723e-01
2.7649e-01	4.9426e-01	3.6625e-01	5.2985e-01	5.1418e-01
3.6807e-02	9.4537e-02	3.0592e-03	2.3475e-01	9.6674e-01
2.1833e-01	3.1117e-01	9.4008e-02	9.1973e-01	2.7430e-02
4.4132e-01	2.5161e-01	5.2594e-01	4.5260e-01	5.1037e-01
4.7506e-01	5.8731e-01	4.5410e-01	3.8394e-01	2.7527e-01
4.6701e-01	4.8584e-01	3.2140e-01	3.9563e-01	5.3482e-01
1.1795e-02	6.0573e-02	4.7503e-01	8.7554e-01	6.3026e-02
5.0061e-01	4.8029e-01	4.7672e-01	3.7929e-01	3.8417e-01
4.7597e-01	3.7627e-01	3.1471e-01	4.5642e-01	5.6966e-01
4.4426e-01	3.9619e-01	5.9976e-01	4.1082e-01	3.4232e-01
2.9337e-01	4.7339e-01	3.2669e-01	4.7620e-01	5.9694e-01
8.9303e-01	3.1730e-01	3.0551e-01	7.1016e-03	9.1789e-02
4.4193e-01	3.6713e-01	5.2839e-01	2.9508e-01	5.5103e-01
4.9215e-01	2.9906e-01	5.0976e-01	4.4247e-01	4.6122e-01
4.9811e-01	2.6805e-01	5.3857e-01	4.5073e-01	4.3222e-01
5.9300e-01	2.8141e-01	4.8630e-01	3.5729e-01	4.5279e-01
5.3087e-01	4.4580e-01	3.1071e-01	5.2835e-01	3.7914e-01
4.6316e-01	5.3501e-01	2.9237e-01	4.7606e-01	4.3259e-01
5.7785e-01	4.8371e-01	3.2018e-01	4.0978e-01	4.0209e-01
4.4438e-01	4.5631e-01	5.1654e-01	2.3588e-01	5.2140e-01
1.4609e-01	8.9725e-01	3.8737e-01	1.4969e-01	3.3670e-02
4.9066e-01	5.0301e-01	2.8742e-01	4.3528e-01	4.8390e-01
4.7630e-02	1.9393e-02	1.7519e-01	2.7456e-01	9.4408e-01
9.5594e-02	2.0317e-01	8.8639e-01	3.2919e-01	2.3566e-01
5.0666e-01	4.8938e-01	4.9015e-01	3.2553e-01	3.9697e-01
5.4828e-01	4.5522e-01	2.6490e-01	5.3236e-01	3.7229e-01
5.6123e-01	3.7857e-01	4.5725e-01	2.6214e-01	5.1373e-01
5.0259e-01	3.9261e-01	5.1156e-01	2.8280e-01	5.0159e-01
4.7159e-01	2.4683e-01	4.4024e-01	4.9013e-01	5.3163e-01
4.0538e-01	4.5457e-01	3.4924e-01	5.1406e-01	4.9275e-01
7.0372e-02	9.7657e-01	1.5010e-01	4.6979e-02	1.2892e-01
1.5736e-01	2.9069e-01	9.3747e-01	8.0514e-02	7.3487e-02
4.1572e-01	4.1809e-01	5.8333e-01	4.1710e-01	3.7165e-01
4.1500e-01	3.5033e-01	5.8386e-01	3.4663e-01	4.9395e-01
1.7994e-02	8.9764e-01	2.7572e-01	3.4064e-01	4.3183e-02
2.6695e-01	9.2529e-01	2.3621e-01	1.1377e-01	6.1939e-02
4.6145e-01	3.3108e-01	4.8282e-01	3.9054e-01	5.4020e-01
1.4439e-01	3.6379e-01	9.0216e-01	1.0675e-01	1.4671e-01
4.9192e-01	5.3910e-01	3.7046e-01	3.4316e-01	4.6085e-01
5.1318e-01	3.6799e-01	4.1042e-01	5.5522e-01	3.5288e-01
5.3953e-01	3.6374e-01	4.9260e-01	2.7584e-01	5.0779e-01
3.2729e-01	5.4650e-01	4.1492e-01	4.3341e-01	4.8396e-01
1.7014e-01	7.5884e-02	8.7965e-01	2.3095e-01	3.7172e-01
6.0471e-01	3.6291e-01	3.3215e-01	4.6315e-01	4.2164e-01
3.4130e-01	5.0933e-01	5.1528e-01	5.2225e-01	2.9298e-01
2.8697e-01	4.0481e-01	4.1561e-01	4.8384e-01	5.8902e-01
3.9764e-01	4.4459e-01	6.0964e-01	3.9081e-01	3.4617e-01
6.0929e-01	3.3071e-01	3.2044e-01	4.5834e-01	4.5459e-01
3.0228e-01	5.1526e-01	3.7545e-01	5.0808e-01	4.9399e-01
4.3280e-01	4.5221e-01	4.3174e-01	5.3967e-01	3.6131e-01
1.0724e-01	3.7165e-01	1.6642e-01	9.0689e-01	1.5275e-02
2.6630e-01	4.0291e-01	4.7108e-01	5.4276e-01	5.0024e-01
8.8595e-01	1.4777e-01	2.2972e-01	2.6423e-01	2.6583e-01
4.7825e-01	5.2991e-01	4.3164e-01	3.6189e-01	4.1618e-01
8.8630e-01	1.1961e-01	1.1503e-01	2.1948e-01	3.7250e-01
5.9142e-01	3.3038e-01	3.8837e-01	4.6336e-01	4.1896e-01
4.6254e-01	4.8690e-01	3.2682e-01	4.6653e-01	4.7384e-01
4.4951e-02	1.0852e-01	3.3708e-01	2.9851e-01	8.8514e-01
