5.9251e+00	1.2608e+00
2.9972e+00	8.1238e-01
1.5932e+00	7.0025e-01
2.9972e+00	8.1238e-01
2.1944e+00	7.4473e-01
9.9254e-01	6.6534e-01
4.8226e+00	9.7608e-01
2.6958e+00	7.7959e-01
1.5932e+00	7.0025e-01
5.9251e+00	1.2610e+00
2.9972e+00	8.1238e-01
2.0940e+00	7.3282e-01
1.1926e+00	6.7017e-01
5.0243e+00	1.0322e+00
3.2988e+00	8.3438e-01
1.5932e+00	7.0025e-01
7.9231e-01	6.5304e-01
5.1245e+00	1.0553e+00
4.3140e+00	8.9448e-01
3.5005e+00	8.5425e-01
1.9939e+00	7.2682e-01
3.7026e+00	8.6537e-01
2.2946e+00	7.5287e-01
1.5932e+00	7.0025e-01
8.9245e-01	6.6049e-01
4.6194e+00	9.2385e-01
3.1983e+00	8.3184e-01
2.5955e+00	7.7371e-01
1.2928e+00	6.7950e-01
6.9221e-01	6.4692e-01
5.3246e+00	1.1035e+00
4.2117e+00	8.8251e-01
2.1944e+00	7.4473e-01
5.9252e+00	1.2629e+00
7.9231e-01	6.5304e-01
4.3136e+00	8.8542e-01
3.7027e+00	8.6871e-01
3.1982e+00	8.2555e-01
2.1941e+00	7.3591e-01
1.5932e+00	7.0025e-01
1.0926e+00	6.6837e-01
5.9221e-01	6.4437e-01
5.4247e+00	1.1324e+00
3.3994e+00	8.3388e-01
2.8965e+00	7.9447e-01
1.8936e+00	7.1568e-01
8.9237e-01	6.5743e-01
4.9237e+00	1.0058e+00
4.4163e+00	9.1102e-01
4.0073e+00	8.6720e-01
3.5003e+00	8.4679e-01
2.5953e+00	7.6810e-01
1.1926e+00	6.7017e-01
6.9227e-01	6.4899e-01
5.4251e+00	1.1452e+00
5.0239e+00	1.0222e+00
3.6014e+00	8.5750e-01
1.7936e+00	7.1632e-01
1.3929e+00	6.8550e-01
9.9241e-01	6.6045e-01
5.9211e-01	6.4088e-01
5.5246e+00	1.1529e+00
4.2115e+00	8.7861e-01
2.4951e+00	7.6172e-01
1.1927e+00	6.7404e-01
7.9231e-01	6.5304e-01
5.5247e+00	1.1579e+00
3.8040e+00	8.7056e-01
3.7013e+00	8.0414e-01
2.5956e+00	7.7779e-01
2.1944e+00	7.4473e-01
1.7935e+00	7.1408e-01
1.3929e+00	6.8743e-01
9.9254e-01	6.6534e-01
5.5249e+00	1.1624e+00
3.1980e+00	8.1813e-01
1.2926e+00	6.7441e-01
4.8222e+00	9.6648e-01
4.4159e+00	8.9928e-01
4.0075e+00	8.7467e-01
3.6015e+00	8.6094e-01
