4.5914e-01	5.4426e-01	2.9913e-01	6.3521e-01
1.2089e-01	9.3639e-01	2.9209e-01	1.5243e-01
1.8438e-01	8.8374e-01	6.1146e-02	4.2577e-01
8.7993e-01	1.3330e-01	4.4724e-01	8.9062e-02
2.9468e-01	4.7204e-01	5.7842e-01	5.9646e-01
4.7513e-01	3.3251e-01	4.5740e-01	6.7414e-01
7.0980e-02	1.5045e-01	8.8543e-01	4.3398e-01
2.3632e-01	9.4460e-01	1.7364e-02	2.2711e-01
8.9470e-01	3.8106e-01	1.5654e-01	1.7265e-01
6.0931e-01	5.2209e-01	5.1704e-01	2.9807e-01
4.6329e-01	6.7596e-01	3.6712e-01	4.4007e-01
1.8029e-01	1.2476e-01	4.2502e-01	8.7823e-01
6.5280e-02	9.9270e-01	1.0126e-01	5.2753e-03
7.0460e-02	1.2563e-01	9.8689e-01	7.2835e-02
9.4783e-01	2.8534e-01	9.5453e-02	1.0527e-01
9.0573e-01	3.2852e-01	2.5132e-01	9.2569e-02
9.4503e-01	2.6389e-01	1.5820e-01	1.1067e-01
3.7978e-01	5.3165e-01	5.6793e-01	5.0057e-01
8.7745e-01	2.1619e-01	3.9872e-01	1.5612e-01
4.1123e-01	5.6803e-01	6.3298e-01	3.2798e-01
5.4614e-01	5.5812e-01	5.5361e-01	2.8939e-01
4.1772e-01	6.4778e-01	4.1487e-01	4.8351e-01
4.8039e-01	3.9292e-01	5.2357e-01	5.8371e-01
1.1157e-01	2.0963e-01	8.7782e-01	4.1598e-01
5.2596e-01	5.6968e-01	3.4288e-01	5.3035e-01
4.4108e-01	4.3361e-01	6.0083e-01	5.0639e-01
8.6611e-02	2.1264e-01	9.6525e-02	9.6849e-01
3.9170e-01	2.0647e-01	1.2125e-01	8.8839e-01
5.4441e-01	5.2074e-01	4.0728e-01	5.1630e-01
4.0549e-01	4.0168e-01	5.5901e-01	6.0144e-01
2.6295e-02	1.4379e-01	9.4248e-01	3.0061e-01
3.9184e-03	1.0537e-02	4.0620e-01	9.1371e-01
3.8459e-01	6.8747e-01	4.2205e-01	4.4871e-01
5.0825e-01	5.8982e-01	4.7666e-01	4.0816e-01
2.4374e-01	8.9697e-01	3.1063e-01	1.9884e-01
5.4933e-01	4.7171e-01	3.2341e-01	6.0920e-01
1.3794e-01	1.9514e-01	1.7947e-01	9.5430e-01
9.4821e-01	1.7740e-01	2.5747e-01	5.5958e-02
4.1815e-01	3.8106e-01	6.8649e-01	4.5682e-01
4.2773e-01	4.6646e-01	6.2817e-01	4.5261e-01
5.6195e-01	3.3395e-01	5.9921e-01	4.6221e-01
5.4696e-01	4.5419e-01	4.7538e-01	5.1822e-01
6.7859e-01	4.4063e-01	3.6025e-01	4.6431e-01
5.7425e-01	3.6887e-01	4.6605e-01	5.6300e-01
5.6404e-01	3.2526e-01	4.1656e-01	6.3446e-01
4.0858e-01	4.6794e-01	6.8887e-01	3.7357e-01
5.5381e-01	2.8670e-01	5.1350e-01	5.8942e-01
3.3840e-01	5.7813e-01	5.3607e-01	5.1369e-01
9.6315e-01	2.0708e-01	1.1865e-01	1.2400e-01
4.7251e-01	4.7702e-01	4.5979e-01	5.8119e-01
5.5605e-01	3.5385e-01	4.7851e-01	5.8019e-01
9.3110e-01	1.4949e-01	3.3236e-01	1.5497e-02
4.2955e-01	5.7886e-02	2.7094e-02	9.0078e-01
4.8774e-01	5.3044e-01	5.3569e-01	4.4021e-01
